Sensor,Time Point,value
DC21410602,2022-01-25 12:00:00,1.28
DC21410602,2022-01-25 13:00:00,0.41
DC21410602,2022-01-25 14:00:00,0.04
DC21410602,2022-01-25 15:00:00,0.03
DC21410602,2022-01-25 16:00:00,0.01
DC21410602,2022-01-25 17:00:00,0.17
DC21410602,2022-01-25 18:00:00,0.11
DC21410602,2022-01-25 19:00:00,0.11
DC21410602,2022-01-25 20:00:00,0.19
DC21410602,2022-01-25 21:00:00,0.64
DC21410602,2022-01-25 22:00:00,1.13
DC21410602,2022-01-25 23:00:00,2.14
DC21410602,2022-01-26 00:00:00,2.14
DC21410602,2022-01-26 01:00:00,1.74
DC21410602,2022-01-26 02:00:00,1.24
DC21410602,2022-01-26 03:00:00,0.86
DC21410602,2022-01-26 04:00:00,0.76
DC21410602,2022-01-26 05:00:00,0.16
DC21410602,2022-01-26 06:00:00,0.31
DC21410602,2022-01-26 07:00:00,0.03
DC21410602,2022-01-26 08:00:00,0.0
DC21410602,2022-01-26 09:00:00,0.0
DC21410602,2022-01-26 10:00:00,0.0
DC21410602,2022-01-26 11:00:00,0.0
DC21410602,2022-01-26 12:00:00,0.0
DC21410602,2022-01-26 13:00:00,0.0
DC21410602,2022-01-26 14:00:00,0.03
DC21410602,2022-01-26 15:00:00,0.03
